Tỉnh Thành Phố,Quận Huyện,Phường Xã,Cấp,district_level,province_level
Hà Nội,Hoàn Kiếm,Phan Chu Trinh,Phường,Quận,Thành Phố
Hà Nội,Hoàn Kiếm,Hàng Bài,Phường,Quận,Thành Phố
Hà Nội,Tây Hồ,Phú Thượng,Phường,Quận,Thành Phố
Hà Nội,Tây Hồ,Nhật Tân,Phường,Quận,Thành Phố
Hà Nội,Tây Hồ,Tứ Liên,Phường,Quận,Thành Phố
Hà Nội,Tây Hồ,Quảng An,Phường,Quận,Thành Phố
Hà Nội,Tây Hồ,Xuân La,Phường,Quận,Thành Phố
Hà Nội,Tây Hồ,Yên Phụ,Phường,Quận,Thành Phố
Hà Nội,Tây Hồ,Bưởi,Phường,Quận,Thành Phố
Hà Nội,Tây Hồ,Thụy Khuê,Phường,Quận,Thành Phố
Hà Nội,Long Biên,Thượng Thanh,Phường,Quận,Thành Phố
Hà Nội,Long Biên,Ngọc Thụy,Phường,Quận,Thành Phố
Hà Nội,Long Biên,Giang Biên,Phường,Quận,Thành Phố
Hà Nội,Long Biên,Đức Giang,Phường,Quận,Thành Phố
Hà Nội,Long Biên,Việt Hưng,Phường,Quận,Thành Phố
Hà Nội,Long Biên,Gia Thụy,Phường,Quận,Thành Phố
Hà Nội,Long Biên,Ngọc Lâm,Phường,Quận,Thành Phố
Hà Nội,Long Biên,Phúc Lợi,Phường,Quận,Thành Phố
Hà Nội,Long Biên,Bồ Đề,Phường,Quận,Thành Phố
Hà Nội,Long Biên,Sài Đồng,Phường,Quận,Thành Phố
Hà Nội,Long Biên,Long Biên,Phường,Quận,Thành Phố
Hà Nội,Long Biên,Thạch Bàn,Phường,Quận,Thành Phố
Hà Nội,Long Biên,Phúc Đồng,Phường,Quận,Thành Phố
Hà Nội,Long Biên,Cự Khối,Phường,Quận,Thành Phố
Hà Nội,Cầu Giấy,Nghĩa Đô,Phường,Quận,Thành Phố
Hà Nội,Cầu Giấy,Nghĩa Tân,Phường,Quận,Thành Phố
Hà Nội,Cầu Giấy,Mai Dịch,Phường,Quận,Thành Phố
Hà Nội,Cầu Giấy,Dịch Vọng,Phường,Quận,Thành Phố
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,Phường,Quận,Thành Phố
Hà Nội,Cầu Giấy,Quan Hoa,Phường,Quận,Thành Phố
Hà Nội,Cầu Giấy,Yên Hoà,Phường,Quận,Thành Phố
Hà Nội,Cầu Giấy,Trung Hoà,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Cát Linh,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Văn Miếu,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Quốc Tử Giám,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Láng Thượng,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Ô Chợ Dừa,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Văn Chương,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Hàng Bột,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Láng Hạ,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Khâm Thiên,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Thổ Quan,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Nam Đồng,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Trung Phụng,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Quang Trung,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Trung Liệt,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Phương Liên,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Thịnh Quang,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Trung Tự,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Kim Liên,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Phương Mai,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Ngã Tư Sở,Phường,Quận,Thành Phố
Hà Nội,Đống Đa,Khương Thượng,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Nguyễn Du,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Bạch Đằng,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Phạm Đình Hổ,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Lê Đại Hành,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Đồng Nhân,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Phố Huế,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Đống Mác,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Thanh Lương,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Thanh Nhàn,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Cầu Dền,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Bách Khoa,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Đồng Tâm,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Vĩnh Tuy,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Bạch Mai,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Quỳnh Mai,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Quỳnh Lôi,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Minh Khai,Phường,Quận,Thành Phố
Hà Nội,Hai Bà Trưng,Trương Định,Phường,Quận,Thành Phố
Hà Nội,Hoàng Mai,Thanh Trì,Phường,Quận,Thành Phố
Hà Nội,Hoàng Mai,Vĩnh Hưng,Phường,Quận,Thành Phố
Hà Nội,Hoàng Mai,Định Công,Phường,Quận,Thành Phố
Hà Nội,Hoàng Mai,Mai Động,Phường,Quận,Thành Phố
Hà Nội,Hoàng Mai,Tương Mai,Phường,Quận,Thành Phố
Hà Nội,Hoàng Mai,Đại Kim,Phường,Quận,Thành Phố
Hà Nội,Hoàng Mai,Tân Mai,Phường,Quận,Thành Phố
Hà Nội,Hoàng Mai,Hoàng Văn Thụ,Phường,Quận,Thành Phố
Hà Nội,Hoàng Mai,Giáp Bát,Phường,Quận,Thành Phố
Hà Nội,Hoàng Mai,Lĩnh Nam,Phường,Quận,Thành Phố
Hà Nội,Hoàng Mai,Thịnh Liệt,Phường,Quận,Thành Phố
Hà Nội,Hoàng Mai,Trần Phú,Phường,Quận,Thành Phố
Hà Nội,Hoàng Mai,Hoàng Liệt,Phường,Quận,Thành Phố
Hà Nội,Hoàng Mai,Yên Sở,Phường,Quận,Thành Phố
Hà Nội,Thanh Xuân,Nhân Chính,Phường,Quận,Thành Phố
Hà Nội,Thanh Xuân,Thượng Đình,Phường,Quận,Thành Phố
Hà Nội,Thanh Xuân,Khương Trung,Phường,Quận,Thành Phố
Hà Nội,Thanh Xuân,Khương Mai,Phường,Quận,Thành Phố
Hà Nội,Thanh Xuân,Thanh Xuân Trung,Phường,Quận,Thành Phố
Hà Nội,Thanh Xuân,Phương Liệt,Phường,Quận,Thành Phố
Hà Nội,Thanh Xuân,Hạ Đình,Phường,Quận,Thành Phố
Hà Nội,Thanh Xuân,Khương Đình,Phường,Quận,Thành Phố
Hà Nội,Thanh Xuân,Thanh Xuân Bắc,Phường,Quận,Thành Phố
Hà Nội,Thanh Xuân,Thanh Xuân Nam,Phường,Quận,Thành Phố
Hà Nội,Thanh Xuân,Kim Giang,Phường,Quận,Thành Phố
Hà Nội,Sóc Sơn,Sóc Sơn,Thị Trấn,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Bắc Sơn,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Minh Trí,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Hồng Kỳ,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Nam Sơn,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Trung Giã,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Tân Hưng,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Minh Phú,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Phù Linh,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Bắc Phú,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Tân Minh,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Quang Tiến,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Hiền Ninh,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Tân Dân,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Tiên Dược,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Việt Long,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Xuân Giang,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Mai Đình,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Đức Hoà,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Thanh Xuân,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Đông Xuân,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Kim Lũ,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Phú Cường,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Phú Minh,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Phù Lỗ,Xã,Huyện,Thành Phố
Hà Nội,Sóc Sơn,Xuân Thu,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Đông Anh,Thị Trấn,Huyện,Thành Phố
Hà Nội,Đông Anh,Xuân Nộn,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Thuỵ Lâm,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Bắc Hồng,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Nguyên Khê,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Nam Hồng,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Tiên Dương,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Vân Hà,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Uy Nỗ,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Vân Nội,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Liên Hà,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Việt Hùng,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Kim Nỗ,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Kim Chung,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Dục Tú,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Đại Mạch,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Vĩnh Ngọc,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Cổ Loa,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Hải Bối,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Xuân Canh,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Võng La,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Tàm Xá,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Mai Lâm,Xã,Huyện,Thành Phố
Hà Nội,Đông Anh,Đông Hội,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Yên Viên,Thị Trấn,Huyện,Thành Phố
Hà Nội,Gia Lâm,Yên Thường,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Yên Viên,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Ninh Hiệp,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Đình Xuyên,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Dương Hà,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Phù Đổng,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Trung Mầu,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Lệ Chi,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Cổ Bi,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Đặng Xá,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Phú Thị,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Kim Sơn,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Trâu Quỳ,Thị Trấn,Huyện,Thành Phố
Hà Nội,Gia Lâm,Dương Quang,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Dương Xá,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Đông Dư,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Đa Tốn,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Kiêu Kỵ,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Bát Tràng,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Kim Lan,Xã,Huyện,Thành Phố
Hà Nội,Gia Lâm,Văn Đức,Xã,Huyện,Thành Phố
Hà Nội,Nam Từ Liêm,Cầu Diễn,Phường,Quận,Thành Phố
Hà Nội,Nam Từ Liêm,Xuân Phương,Phường,Quận,Thành Phố
Hà Nội,Nam Từ Liêm,Phương Canh,Phường,Quận,Thành Phố
Hà Nội,Nam Từ Liêm,Mỹ Đình 1,Phường,Quận,Thành Phố
Hà Nội,Nam Từ Liêm,Mỹ Đình 2,Phường,Quận,Thành Phố
Hà Nội,Nam Từ Liêm,Tây Mỗ,Phường,Quận,Thành Phố
Hà Nội,Nam Từ Liêm,Mễ Trì,Phường,Quận,Thành Phố
Hà Nội,Nam Từ Liêm,Phú Đô,Phường,Quận,Thành Phố
Hà Nội,Nam Từ Liêm,Đại Mỗ,Phường,Quận,Thành Phố
Hà Nội,Nam Từ Liêm,Trung Văn,Phường,Quận,Thành Phố
Hà Nội,Thanh Trì,Văn Điển,Thị Trấn,Huyện,Thành Phố
Hà Nội,Thanh Trì,Tân Triều,Xã,Huyện,Thành Phố
Hà Nội,Thanh Trì,Thanh Liệt,Xã,Huyện,Thành Phố
Hà Nội,Thanh Trì,Tả Thanh Oai,Xã,Huyện,Thành Phố
Hà Nội,Thanh Trì,Hữu Hoà,Xã,Huyện,Thành Phố
Hà Nội,Thanh Trì,Tam Hiệp,Xã,Huyện,Thành Phố
Hà Nội,Thanh Trì,Tứ Hiệp,Xã,Huyện,Thành Phố
Hà Nội,Thanh Trì,Yên Mỹ,Xã,Huyện,Thành Phố
Hà Nội,Thanh Trì,Vĩnh Quỳnh,Xã,Huyện,Thành Phố
Hà Nội,Thanh Trì,Ngũ Hiệp,Xã,Huyện,Thành Phố
Hà Nội,Thanh Trì,Duyên Hà,Xã,Huyện,Thành Phố
Hà Nội,Thanh Trì,Ngọc Hồi,Xã,Huyện,Thành Phố
Hà Nội,Thanh Trì,Vạn Phúc,Xã,Huyện,Thành Phố
Hà Nội,Thanh Trì,Đại áng,Xã,Huyện,Thành Phố
Hà Nội,Thanh Trì,Liên Ninh,Xã,Huyện,Thành Phố
Hà Nội,Thanh Trì,Đông Mỹ,Xã,Huyện,Thành Phố
Hà Nội,Bắc Từ Liêm,Thượng Cát,Phường,Quận,Thành Phố
Hà Nội,Bắc Từ Liêm,Liên Mạc,Phường,Quận,Thành Phố
Hà Nội,Bắc Từ Liêm,Đông Ngạc,Phường,Quận,Thành Phố
Hà Nội,Bắc Từ Liêm,Đức Thắng,Phường,Quận,Thành Phố
Hà Nội,Bắc Từ Liêm,Thụy Phương,Phường,Quận,Thành Phố
Hà Nội,Bắc Từ Liêm,Tây Tựu,Phường,Quận,Thành Phố
Hà Nội,Bắc Từ Liêm,Xuân Đỉnh,Phường,Quận,Thành Phố
Hà Nội,Bắc Từ Liêm,Xuân Tảo,Phường,Quận,Thành Phố
Hà Nội,Bắc Từ Liêm,Minh Khai,Phường,Quận,Thành Phố
Hà Nội,Bắc Từ Liêm,Cổ Nhuế 1,Phường,Quận,Thành Phố
Hà Nội,Bắc Từ Liêm,Cổ Nhuế 2,Phường,Quận,Thành Phố
Hà Nội,Bắc Từ Liêm,Phú Diễn,Phường,Quận,Thành Phố
Hà Nội,Bắc Từ Liêm,Phúc Diễn,Phường,Quận,Thành Phố
Hà Nội,Mê Linh,Chi Đông,Thị Trấn,Huyện,Thành Phố
Hà Nội,Mê Linh,Đại Thịnh,Xã,Huyện,Thành Phố
Hà Nội,Mê Linh,Kim Hoa,Xã,Huyện,Thành Phố
Hà Nội,Mê Linh,Thạch Đà,Xã,Huyện,Thành Phố
Hà Nội,Mê Linh,Tiến Thắng,Xã,Huyện,Thành Phố
Hà Nội,Mê Linh,Tự Lập,Xã,Huyện,Thành Phố
Hà Nội,Mê Linh,Quang Minh,Thị Trấn,Huyện,Thành Phố
Hà Nội,Mê Linh,Thanh Lâm,Xã,Huyện,Thành Phố
Hà Nội,Mê Linh,Tam Đồng,Xã,Huyện,Thành Phố
Hà Nội,Mê Linh,Liên Mạc,Xã,Huyện,Thành Phố
Hà Nội,Mê Linh,Vạn Yên,Xã,Huyện,Thành Phố
Hà Nội,Mê Linh,Chu Phan,Xã,Huyện,Thành Phố
Hà Nội,Mê Linh,Tiến Thịnh,Xã,Huyện,Thành Phố
Hà Nội,Mê Linh,Mê Linh,Xã,Huyện,Thành Phố
Hà Nội,Mê Linh,Văn Khê,Xã,Huyện,Thành Phố
Hà Nội,Mê Linh,Hoàng Kim,Xã,Huyện,Thành Phố
Hà Nội,Mê Linh,Tiền Phong,Xã,Huyện,Thành Phố
Hà Nội,Mê Linh,Tráng Việt,Xã,Huyện,Thành Phố
Hà Nội,Hà Đông,Nguyễn Trãi,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,Mộ Lao,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,Văn Quán,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,Vạn Phúc,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,Yết Kiêu,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,Quang Trung,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,La Khê,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,Phú La,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,Phúc La,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,Hà Cầu,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,Yên Nghĩa,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,Kiến Hưng,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,Phú Lãm,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,Phú Lương,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,Dương Nội,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,Đồng Mai,Phường,Quận,Thành Phố
Hà Nội,Hà Đông,Biên Giang,Phường,Quận,Thành Phố
Hà Nội,Sơn Tây,Lê Lợi,Phường,Thị Xã,Thành Phố
Hà Nội,Sơn Tây,Phú Thịnh,Phường,Thị Xã,Thành Phố
Hà Nội,Sơn Tây,Ngô Quyền,Phường,Thị Xã,Thành Phố
Hà Nội,Sơn Tây,Quang Trung,Phường,Thị Xã,Thành Phố
Hà Nội,Sơn Tây,Sơn Lộc,Phường,Thị Xã,Thành Phố
Hà Nội,Sơn Tây,Xuân Khanh,Phường,Thị Xã,Thành Phố
Hà Nội,Sơn Tây,Đường Lâm,Xã,Thị Xã,Thành Phố
Hà Nội,Sơn Tây,Viên Sơn,Phường,Thị Xã,Thành Phố
Hà Nội,Sơn Tây,Xuân Sơn,Xã,Thị Xã,Thành Phố
Hà Nội,Sơn Tây,Trung Hưng,Phường,Thị Xã,Thành Phố
Hà Nội,Sơn Tây,Thanh Mỹ,Xã,Thị Xã,Thành Phố
Hà Nội,Sơn Tây,Trung Sơn Trầm,Phường,Thị Xã,Thành Phố
Hà Nội,Sơn Tây,Kim Sơn,Xã,Thị Xã,Thành Phố
Hà Nội,Sơn Tây,Sơn Đông,Xã,Thị Xã,Thành Phố
Hà Nội,Sơn Tây,Cổ Đông,Xã,Thị Xã,Thành Phố
Hà Nội,Ba Vì,Tây Đằng,Thị Trấn,Huyện,Thành Phố
Hà Nội,Ba Vì,Phú Cường,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Cổ Đô,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Tản Hồng,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Vạn Thắng,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Châu Sơn,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Phong Vân,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Phú Đông,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Phú Phương,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Phú Châu,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Thái Hòa,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Đồng Thái,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Phú Sơn,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Minh Châu,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Vật Lại,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Chu Minh,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Tòng Bạt,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Cẩm Lĩnh,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Sơn Đà,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Đông Quang,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Tiên Phong,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Thụy An,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Cam Thượng,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Thuần Mỹ,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Tản Lĩnh,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Ba Trại,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Minh Quang,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Ba Vì,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Vân Hòa,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Yên Bài,Xã,Huyện,Thành Phố
Hà Nội,Ba Vì,Khánh Thượng,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Phúc Thọ,Thị Trấn,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Vân Hà,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Vân Phúc,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Vân Nam,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Xuân Đình,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Sen Phương,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Võng Xuyên,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Thọ Lộc,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Long Xuyên,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Thượng Cốc,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Hát Môn,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Tích Giang,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Thanh Đa,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Trạch Mỹ Lộc,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Phúc Hòa,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Ngọc Tảo,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Phụng Thượng,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Tam Thuấn,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Tam Hiệp,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Hiệp Thuận,Xã,Huyện,Thành Phố
Hà Nội,Phúc Thọ,Liên Hiệp,Xã,Huyện,Thành Phố
Hà Nội,Đan Phượng,Phùng,Thị Trấn,Huyện,Thành Phố
Hà Nội,Đan Phượng,Trung Châu,Xã,Huyện,Thành Phố
Hà Nội,Đan Phượng,Thọ An,Xã,Huyện,Thành Phố
Hà Nội,Đan Phượng,Thọ Xuân,Xã,Huyện,Thành Phố
Hà Nội,Đan Phượng,Hồng Hà,Xã,Huyện,Thành Phố
Hà Nội,Đan Phượng,Liên Hồng,Xã,Huyện,Thành Phố
Hà Nội,Đan Phượng,Liên Hà,Xã,Huyện,Thành Phố
Hà Nội,Đan Phượng,Hạ Mỗ,Xã,Huyện,Thành Phố
Hà Nội,Đan Phượng,Liên Trung,Xã,Huyện,Thành Phố
Hà Nội,Đan Phượng,Phương Đình,Xã,Huyện,Thành Phố
Hà Nội,Đan Phượng,Thượng Mỗ,Xã,Huyện,Thành Phố
Hà Nội,Đan Phượng,Tân Hội,Xã,Huyện,Thành Phố
Hà Nội,Đan Phượng,Tân Lập,Xã,Huyện,Thành Phố
Hà Nội,Đan Phượng,Đan Phượng,Xã,Huyện,Thành Phố
